id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
24,12,33,00,10,80.8, 17.6, 134.0,0.0, 251.5, 0.0,19.0, 273.2, 13.6
25,12,33,00,510,78.5, 17.8, 133.2,0.0, 252.4, 0.0,18.6, 274.0, 13.6
26,12,33,01,28,76.0, 17.6, 132.4,0.0, 253.4, 0.0,16.9, 274.6, 13.4
27,12,33,01,541,73.6, 17.1, 131.8,0.0, 253.8, 0.0,14.6, 274.4, 13.3
28,12,33,02,61,71.1, 16.8, 131.1,0.0, 254.8, 0.0,12.0, 274.8, 13.1
29,12,33,02,572,68.6, 16.7, 130.5,0.0, 254.8, 0.0,10.6, 274.5, 13.1
30,12,33,03,103,66.2, 16.5, 129.6,0.0, 240.9, 0.0,8.5, 260.1, 13.0
31,12,33,03,643,63.7, 16.3, 128.9,0.0, 237.5, 0.0,8.4, 256.7, 13.0
32,12,33,04,191,61.0, 16.3, 128.6,0.0, 235.9, 0.0,5.9, 254.5, 12.9
33,12,33,04,731,58.5, 16.3, 127.9,0.0, 242.4, 0.0,1.8, 260.0, 12.8
34,12,33,05,233,56.2, 16.3, 126.8,0.0, 244.3, 0.0,0.5, 261.6, 12.8
35,12,33,05,735,54.1, 16.2, 125.5,0.0, 252.3, 0.0,358.0, 269.1, 12.8
36,12,33,06,254,51.7, 16.3, 124.6,0.0, 251.9, 0.0,357.6, 268.6, 12.9
37,12,33,06,792,49.3, 16.5, 123.3,0.0, 234.6, 0.0,358.3, 251.4, 12.8
38,12,33,07,309,47.2, 16.6, 121.9,0.0, 243.7, 0.0,356.2, 260.1, 12.9
39,12,33,07,811,44.9, 16.8, 120.8,0.0, 243.7, 0.0,356.2, 260.1, 12.9
40,12,33,08,328,42.7, 16.9, 119.5,0.0, 233.2, 0.0,358.3, 250.0, 12.8
41,12,33,08,875,40.7, 17.1, 117.7,0.0, 225.5, 0.0,358.6, 242.4, 12.8
42,12,33,09,399,38.8, 17.4, 115.9,0.0, 225.5, 0.0,358.6, 242.4, 12.8
43,12,33,09,931,36.9, 17.7, 114.1,0.0, 225.5, 0.0,357.9, 242.3, 12.8
44,12,33,10,462,35.0, 17.8, 112.2,0.0, 225.2, 0.0,359.6, 242.3, 12.8
45,12,33,10,971,33.3, 17.7, 110.4,0.0, 222.2, 0.0,359.6, 239.3, 12.8
46,12,33,11,482,31.6, 17.5, 108.5,0.0, 222.1, 0.0,358.2, 238.9, 12.8
47,12,33,11,987,29.9, 17.2, 106.5,0.0, 221.9, 0.0,358.2, 238.7, 12.8
48,12,33,12,489,28.3, 17.0, 104.7,0.0, 221.9, 0.0,358.2, 238.7, 12.8
49,12,33,13,31,26.6, 16.7, 102.6,0.0, 212.6, 0.0,358.7, 229.5, 12.8
50,12,33,13,555,25.5, 16.6, 100.2,0.0, 201.5, 0.0,358.7, 218.4, 12.8
51,12,33,14,57,24.6, 16.7, 97.9,0.0, 201.5, 0.0,358.7, 218.4, 12.8
52,12,33,14,569,24.0, 16.9, 95.4,0.0, 201.5, 0.0,358.7, 218.4, 12.8
53,12,33,15,117,23.1, 17.2, 92.9,0.0, 200.9, 0.0,358.7, 217.8, 12.8
54,12,33,15,660,23.8, 17.3, 90.3,0.0, 208.1, 0.0,356.1, 224.4, 12.9
55,12,33,16,166,22.8, 17.4, 88.0,0.0, 209.7, 0.0,355.4, 225.9, 12.9
56,12,33,16,666,22.2, 17.4, 85.6,0.0, 211.5, 0.0,353.1, 227.1, 12.9
57,12,33,17,188,21.8, 17.4, 83.1,0.0, 211.4, 0.0,353.0, 227.0, 12.9
58,12,33,17,726,21.2, 17.4, 80.5,0.0, 211.4, 0.0,353.0, 227.0, 12.9
59,12,33,18,254,20.0, 17.5, 78.2,0.0, 201.5, 0.0,353.9, 217.3, 12.9
60,12,33,18,755,19.0, 17.7, 75.9,0.0, 203.2, 0.0,353.2, 218.9, 12.9
61,12,33,19,274,18.5, 17.9, 73.4,0.0, 202.7, 0.0,355.3, 218.9, 12.9
62,12,33,19,773,17.9, 18.2, 71.1,0.0, 199.2, 0.0,8.5, 218.4, 13.0
63,12,33,20,308,18.6, 18.8, 68.6,0.0, 172.2, 0.0,8.5, 191.4, 13.0
64,12,33,20,837,18.4, 18.7, 66.1,0.0, 164.6, 0.0,9.3, 184.0, 13.0
65,12,33,21,338,18.7, 18.7, 63.6,0.0, 175.2, 0.0,4.6, 193.5, 12.9
66,12,33,21,842,18.9, 18.7, 61.0,0.0, 176.8, 0.0,4.0, 194.9, 12.9
67,12,33,22,361,18.8, 18.7, 58.5,0.0, 183.3, 0.0,2.7, 201.1, 12.9
68,12,33,22,866,18.1, 18.7, 56.0,0.0, 209.9, 0.0,0.2, 227.2, 12.8
69,12,33,23,403,17.4, 18.8, 53.7,0.0, 192.6, 0.0,12.9, 212.8, 13.2
70,12,33,23,905,18.5, 18.7, 51.5,0.0, 184.8, 0.0,357.0, 201.3, 12.9
71,12,33,24,411,19.1, 18.7, 49.2,0.0, 177.1, 0.0,342.9, 190.3, 13.4
72,12,33,24,929,19.2, 18.7, 46.6,0.0, 177.4, 0.0,343.0, 190.6, 13.4
73,12,33,25,448,18.7, 18.7, 44.1,0.0, 180.8, 0.0,341.6, 193.7, 13.5
74,12,33,25,965,18.5, 18.7, 41.6,0.0, 205.8, 0.0,337.9, 217.7, 13.9
75,12,33,26,474,17.7, 18.8, 39.3,0.0, 202.7, 0.0,336.9, 214.4, 14.0
76,12,33,26,995,17.9, 18.8, 36.8,0.0, 180.5, 0.0,336.6, 192.1, 14.0
77,12,33,27,502,18.7, 18.7, 34.4,0.0, 154.2, 0.0,334.8, 165.3, 14.2
78,12,33,28,8,20.0, 18.7, 32.2,0.0, 132.1, 0.0,332.0, 142.4, 14.6
79,12,33,28,532,20.3, 18.7, 29.6,0.0, 127.1, 0.0,333.1, 137.7, 14.4
80,12,33,29,35,21.0, 18.8, 27.3,0.0, 141.8, 0.0,331.1, 151.8, 14.7
81,12,33,29,537,20.6, 18.7, 24.9,0.0, 141.1, 0.0,330.7, 151.0, 14.8
82,12,33,30,37,20.3, 18.7, 22.4,0.0, 140.9, 0.0,329.3, 150.3, 15.0
83,12,33,30,548,21.0, 18.7, 20.0,0.0, 144.4, 0.0,327.1, 153.1, 15.4
84,12,33,31,54,20.9, 18.7, 18.1,0.0, 146.2, 0.0,324.7, 154.2, 15.8
85,12,33,31,572,20.1, 18.7, 15.6,0.0, 155.0, 0.0,321.6, 161.8, 16.5
86,12,33,32,81,20.7, 18.7, 13.2,0.0, 155.9, 0.0,321.3, 162.6, 16.6
87,12,33,32,595,20.2, 18.7, 10.7,0.0, 155.9, 0.0,321.3, 162.6, 16.6
88,12,33,33,112,20.5, 18.7, 8.2,0.0, 155.9, 0.0,321.3, 162.6, 16.6
89,12,33,33,619,20.5, 18.7, 5.9,0.0, 155.9, 0.0,321.3, 162.6, 16.6
90,12,33,34,150,20.4, 18.7, 3.3,0.0, 155.9, 0.0,321.3, 162.6, 16.6
91,12,33,34,683,20.5, 18.5, 0.7,0.0, 155.9, 0.0,321.3, 162.6, 16.6
92,12,33,35,190,21.1, 18.0, -1.7,0.0, 155.9, 0.0,321.3, 162.6, 16.6
93,12,33,35,697,20.4, 17.5, -4.0,0.0, 156.6, 0.0,320.7, 163.1, 16.7
94,12,33,36,239,21.4, 16.9, -6.4,0.0, 144.4, 0.0,316.2, 149.0, 17.9
95,12,33,36,749,22.3, 16.5, -8.7,0.0, 114.6, 0.0,311.8, 117.0, 19.5
96,12,33,37,254,23.4, 16.5, -10.9,0.0, 104.1, 0.0,309.8, 105.4, 20.3
97,12,33,37,761,23.7, 16.8, -13.3,0.0, 138.9, 0.0,309.8, 140.2, 20.3
98,12,33,38,272,24.1, 16.8, -15.6,0.0, 89.4, 0.0,306.2, 88.5, 22.1
99,12,33,38,783,25.7, 17.0, -17.5,0.0, 70.5, 0.0,304.9, 68.6, 22.9
100,12,33,39,304,27.2, 16.9, -19.7,0.0, 65.0, 0.0,304.6, 62.9, 23.1
101,12,33,39,817,28.0, 16.7, -21.7,0.0, 85.4, 0.0,302.8, 82.0, 24.2
102,12,33,40,320,27.5, 16.6, -22.3,0.0, 128.6, 0.0,299.2, 121.8, 27.1
103,12,33,40,831,26.1, 17.1, -23.7,0.0, 132.4, 0.0,299.6, 126.0, 26.7
104,12,33,41,336,26.3, 17.4, -24.1,0.0, 137.6, 0.0,299.6, 131.2, 26.7
105,12,33,41,846,28.2, 17.6, -23.1,0.0, 163.1, 0.0,301.9, 158.9, 24.8
106,12,33,42,361,28.0, 17.5, -23.1,0.0, 197.1, 0.0,305.1, 195.4, 22.7
107,12,33,42,868,25.7, 16.7, -23.5,0.0, 195.7, 0.0,295.6, 184.5, 31.0
108,12,33,43,371,24.9, 16.6, -23.3,0.0, 201.9, 0.0,290.3, 181.0, 39.9
109,12,33,43,900,24.9, 16.6, -23.3,0.0, 240.9, 0.0,285.2, 201.1, 58.0
110,12,33,44,409,24.9, 16.6, -23.3,0.0, 274.1, 0.0,285.2, 234.3, 58.0
111,12,33,44,912,24.9, 16.6, -23.3,0.0, 280.7, 0.0,285.8, 244.3, 54.7
112,12,33,45,441,24.9, 16.6, -23.3,0.0, 284.4, 0.0,287.3, 254.6, 48.4
113,12,33,45,970,24.9, 16.6, -23.3,0.0, 287.1, 0.0,287.6, 258.5, 47.2
114,12,33,46,486,24.9, 16.6, -23.3,0.0, 281.1, 0.0,288.0, 253.7, 46.1
115,12,33,46,991,24.9, 16.6, -23.3,0.0, 281.1, 0.0,288.0, 253.7, 46.1
116,12,33,47,499,24.9, 16.6, -23.3,0.0, 280.4, 0.0,288.1, 253.5, 45.6
117,12,33,48,7,24.9, 16.6, -23.3,0.0, 280.4, 0.0,288.1, 253.5, 45.6
118,12,33,48,518,24.9, 16.6, -23.3,0.0, 280.4, 0.0,288.1, 253.5, 45.6
119,12,33,49,31,24.9, 16.6, -23.3,0.0, 280.4, 0.0,288.1, 253.5, 45.6
120,12,33,49,544,24.9, 16.6, -23.3,0.0, 229.4, 0.0,285.0, 188.3, 59.3
121,12,33,50,53,24.9, 16.6, -23.3,0.0, 203.8, 0.0,283.4, 148.5, 73.0
122,12,33,50,573,24.9, 16.6, -23.3,0.0, 132.9, 0.0,283.5, 51.4, 98.5
123,12,33,51,76,24.9, 16.6, -23.3,0.0, 77.3, 0.0,284.3, 355.9, 98.6
124,12,33,51,599,26.6, 16.6, -22.9,0.0, 79.7, 0.0,284.6, 358.3, 98.6
125,12,33,52,109,26.9, 16.6, -22.7,0.0, 71.5, 0.0,284.5, 355.2, 93.6
126,12,33,52,609,26.9, 16.6, -22.7,0.0, 37.7, 0.0,284.5, 323.8, 91.3
127,12,33,53,158,26.3, 16.9, -23.3,0.0, 357.9, 0.0,284.5, 283.6, 91.7
128,12,33,53,671,26.4, 17.6, -24.3,0.0, 340.1, 0.0,284.9, 258.7, 98.6
129,12,33,54,186,27.2, 17.7, -23.9,0.0, 340.2, 0.0,285.2, 258.8, 98.6
130,12,33,54,694,27.2, 17.7, -24.6,0.0, 337.4, 0.0,285.2, 256.0, 98.6
131,12,33,55,214,27.2, 17.7, -24.6,0.0, 311.8, 0.0,285.2, 230.4, 98.6
132,12,33,55,750,27.2, 17.7, -24.6,0.0, 311.2, 0.0,285.3, 229.8, 98.6
133,12,33,56,279,27.2, 17.7, -24.6,0.0, 333.9, 0.0,285.9, 252.5, 98.6
134,12,33,56,796,27.2, 17.7, -24.6,0.0, 346.1, 0.0,286.3, 264.7, 98.6
135,12,33,57,316,27.2, 17.7, -24.6,0.0, 346.1, 0.0,286.3, 264.7, 98.6
136,12,33,57,824,27.2, 17.7, -24.6,0.0, 346.1, 0.0,286.3, 264.7, 98.6
137,12,33,58,350,27.2, 17.7, -24.6,0.0, 346.1, 0.0,286.4, 264.7, 98.6
138,12,33,58,868,27.2, 17.7, -24.6,0.0, 344.0, 0.0,286.5, 262.6, 98.6
139,12,33,59,415,27.2, 17.7, -24.6,0.0, 343.1, 0.0,286.3, 270.9, 89.8
140,12,33,59,937,27.2, 17.7, -24.6,0.0, 343.1, 0.0,286.3, 270.9, 89.8
141,12,34,00,439,27.2, 17.7, -24.6,0.0, 320.3, 0.0,286.7, 238.9, 98.6
142,12,34,00,951,27.2, 17.7, -24.6,0.0, 319.2, 0.0,286.5, 245.9, 90.9
143,12,34,01,471,27.2, 17.7, -24.6,0.0, 334.6, 0.0,286.5, 257.4, 94.7
